,Sample Size,Accuracy,MCC,Time
0,500,0.608,0.08,0.1 sec
1,1000,0.626,0.023,0.1 sec
2,2500,0.641,0.12,0.1 sec
3,5000,0.646,0.163,0.1 sec
4,10000,0.656,0.201,0.1 sec
5,25000,0.686,0.286,0.2 sec
6,50000,0.707,0.336,0.3 sec
7,100000,0.726,0.386,0.5 sec
8,250000,0.742,0.426,1.4 sec
9,500000,0.745,0.437,2.8 sec
10,923638,0.747,0.443,4.2 sec
